timing,hemisphere,condition,session,value
positive,Ipsi,Ctrl,1,-37.23532533
positive,Ipsi,Ctrl,2,-10.575
positive,Ipsi,Ctrl,3,-53.92380816
positive,Ipsi,Ctrl,4,21.21212121
positive,Ipsi,Ctrl,5,0
positive,Ipsi,Ctrl,6,3.746281006
positive,Ipsi,Ctrl,7,-10.00147951
positive,Contra,Ctrl,1,0
positive,Contra,Ctrl,2,-0.613333333
positive,Contra,Ctrl,3,-12.23449584
positive,Contra,Ctrl,4,27.8733445
positive,Contra,Ctrl,5,0
positive,Contra,Ctrl,6,0.090359224
positive,Contra,Ctrl,7,1.358333333
positive,Ipsi,Cold,1,-81.29749665
positive,Ipsi,Cold,2,-63.19073084
positive,Ipsi,Cold,3,24.13388139
positive,Ipsi,Cold,4,-13.37683524
positive,Ipsi,Cold,5,0
positive,Ipsi,Cold,6,9.898572034
positive,Ipsi,Cold,7,7.569141194
positive,Contra,Cold,1,-82.34757211
positive,Contra,Cold,2,-89.27686495
positive,Contra,Cold,3,-94.24935299
positive,Contra,Cold,4,-75.71240791
positive,Contra,Cold,5,-96.952038
positive,Contra,Cold,6,-63.68888263
positive,Contra,Cold,7,-86.8585287
extinguished,Ipsi,Ctrl,1,0
extinguished,Ipsi,Ctrl,2,-3.666666667
extinguished,Ipsi,Ctrl,3,-2.830188679
extinguished,Ipsi,Ctrl,4,0
extinguished,Contra,Ctrl,1,0
extinguished,Contra,Ctrl,2,-15.27777778
extinguished,Contra,Ctrl,3,-8.362989324
extinguished,Contra,Ctrl,4,-0.833333333
extinguished,Ipsi,Cold,1,-18.58166667
extinguished,Ipsi,Cold,2,-10.49723757
extinguished,Ipsi,Cold,3,-1.37524558
extinguished,Ipsi,Cold,4,4.426978133
extinguished,Contra,Cold,1,-0.932806324
extinguished,Contra,Cold,2,61.50654325
extinguished,Contra,Cold,3,-17.5
extinguished,Contra,Cold,4,-0.77215806
